s6-rc: info: service s6rc-oneshot-runner: starting
s6-rc: info: service s6rc-oneshot-runner successfully started
s6-rc: info: service fix-attrs: starting
s6-rc: info: service fix-attrs successfully started
s6-rc: info: service legacy-cont-init: starting
s6-rc: info: service legacy-cont-init successfully started
s6-rc: info: service legacy-services: starting
services-up: info: copying legacy longrun home-assistant (no readiness notification)
s6-rc: info: service legacy-services successfully started
2026-07-04 20:12:34.384 WARNING (SyncWorker_0) [annotatedyaml.constructors] YAML file /config/automations.yaml contains duplicate key "transicion_hvac_real". Check lines 3540 and 3681
2026-07-04 20:12:34.384 WARNING (SyncWorker_0) [annotatedyaml.constructors] YAML file /config/automations.yaml contains duplicate key "modo_aprendizaje". Check lines 3541 and 3683
2026-07-04 20:12:34.384 WARNING (SyncWorker_0) [annotatedyaml.constructors] YAML file /config/automations.yaml contains duplicate key "evento_manual_tipo". Check lines 3544 and 3684
2026-07-04 20:12:34.439 WARNING (SyncWorker_0) [homeassistant.loader] We found a custom integration hacs which has not been tested by Home Assistant. This component might cause stability problems, be sure to disable it if you experience issues with Home Assistant
2026-07-04 20:12:34.439 WARNING (SyncWorker_0) [homeassistant.loader] We found a custom integration ge_home which has not been tested by Home Assistant. This component might cause stability problems, be sure to disable it if you experience issues with Home Assistant
2026-07-04 20:12:37.405 WARNING (ImportExecutor_0) [custom_components.ge_home.entities.advantium.ge_advantium] CookAction no disponible en gehomesdk; soporte Advantium avanzado deshabilitado, continuando con el resto de GE Home.
2026-07-04 20:12:48.024 WARNING (MainThread) [custom_components.ge_home.devices.wac] ERD WAC demand response no disponible en gehomesdk; omitiendo sensor opcional y continuando con el A/C. ERD buscados: WAC_DEMAND_RESPONSE_POWER
2026-07-04 20:12:48.085 WARNING (MainThread) [custom_components.ge_home.update_coordinator] GE_HOME_LAUNDRY_DIAG api_selection mac_addr=02000047439D appliance_type=ErdApplianceType.COMBINATION_WASHER_DRYER available=True initialized=True api_class=WasherDryerApi
2026-07-04 20:12:48.086 WARNING (MainThread) [custom_components.ge_home.devices.washer_dryer] GE_HOME_LAUNDRY_DIAG WasherDryerApi supported_entities serial_or_mac=AZ312796N mac_addr=02000047439D added_erds=['ErdCode.LAUNDRY_MACHINE_STATE', 'ErdCode.LAUNDRY_CYCLE', 'ErdCode.LAUNDRY_SUB_CYCLE', 'ErdCode.LAUNDRY_TIME_REMAINING', 'ErdCode.LAUNDRY_DELAY_TIME_REMAINING', 'ErdCode.LAUNDRY_COMBO_DOOR_STATUS', 'ErdCode.LAUNDRY_REMOTE_STATUS', 'ErdCode.LAUNDRY_COMBO_WASHER_TIME_REMAINING', 'ErdCode.LAUNDRY_COMBO_DRYER_TIME_REMAINING', 'ErdCode.LAUNDRY_WASHER_PREWASH', 'ErdCode.LAUNDRY_WASHER_SMART_DISPENSE', 'ErdCode.LAUNDRY_WASHER_SMART_DISPENSE_TANK_STATUS', 'ErdCode.LAUNDRY_DRYER_EXTENDED_TUMBLE_OPTION_SELECTION'] omitted_erds=none
2026-07-04 20:12:48.087 WARNING (MainThread) [custom_components.ge_home.devices.base] GE_HOME_LAUNDRY_DIAG entities_built mac_addr=02000047439D serial_or_mac=AZ312796N api_class=WasherDryerApi entity_count=13 laundry_entity_erds=['ErdCode.LAUNDRY_MACHINE_STATE', 'ErdCode.LAUNDRY_CYCLE', 'ErdCode.LAUNDRY_SUB_CYCLE', 'ErdCode.LAUNDRY_TIME_REMAINING', 'ErdCode.LAUNDRY_DELAY_TIME_REMAINING', 'ErdCode.LAUNDRY_COMBO_DOOR_STATUS', 'ErdCode.LAUNDRY_REMOTE_STATUS', 'ErdCode.LAUNDRY_COMBO_WASHER_TIME_REMAINING', 'ErdCode.LAUNDRY_COMBO_DRYER_TIME_REMAINING', 'ErdCode.LAUNDRY_WASHER_PREWASH', 'ErdCode.LAUNDRY_WASHER_SMART_DISPENSE', 'ErdCode.LAUNDRY_WASHER_SMART_DISPENSE_TANK_STATUS', 'ErdCode.LAUNDRY_DRYER_EXTENDED_TUMBLE_OPTION_SELECTION']
2026-07-04 20:12:48.087 WARNING (MainThread) [custom_components.ge_home.update_coordinator] GE_HOME_LAUNDRY_DIAG api_created mac_addr=02000047439D appliance_type=ErdApplianceType.COMBINATION_WASHER_DRYER available=True initialized=True api_class=WasherDryerApi entity_count=13
2026-07-04 20:12:48.087 WARNING (MainThread) [custom_components.ge_home.update_coordinator] GE_HOME_LAUNDRY_DIAG update mac_addr=02000047439D appliance_type=ErdApplianceType.COMBINATION_WASHER_DRYER available=True initialized=True existing_api=True api_class=WasherDryerApi entity_count=13
2026-07-04 20:12:48.087 WARNING (MainThread) [custom_components.ge_home.update_coordinator] GE_HOME_LAUNDRY_STATE_DIAG update_seen unique_id=ge_home_AZ312796N_laundry_machine_state entity_id=None class=GeErdSensor enabled=True added=False available=True erd_code=LAUNDRY_MACHINE_STATE
2026-07-04 20:12:48.088 WARNING (MainThread) [custom_components.ge_home.update_coordinator] GE_HOME_LAUNDRY_STATE_DIAG skipped_not_added unique_id=ge_home_AZ312796N_laundry_machine_state entity_id=None class=GeErdSensor enabled=True added=False available=True erd_code=LAUNDRY_MACHINE_STATE
2026-07-04 20:12:48.088 WARNING (MainThread) [custom_components.ge_home.update_coordinator] GE_HOME_LAUNDRY_STATE_DIAG update_seen unique_id=ge_home_AZ312796N_laundry_cycle entity_id=None class=GeErdSensor enabled=True added=False available=True erd_code=LAUNDRY_CYCLE
2026-07-04 20:12:48.088 WARNING (MainThread) [custom_components.ge_home.update_coordinator] GE_HOME_LAUNDRY_STATE_DIAG skipped_not_added unique_id=ge_home_AZ312796N_laundry_cycle entity_id=None class=GeErdSensor enabled=True added=False available=True erd_code=LAUNDRY_CYCLE
2026-07-04 20:12:48.088 WARNING (MainThread) [custom_components.ge_home.update_coordinator] GE_HOME_LAUNDRY_STATE_DIAG update_seen unique_id=ge_home_AZ312796N_laundry_sub_cycle entity_id=None class=GeErdSensor enabled=True added=False available=True erd_code=LAUNDRY_SUB_CYCLE
2026-07-04 20:12:48.088 WARNING (MainThread) [custom_components.ge_home.update_coordinator] GE_HOME_LAUNDRY_STATE_DIAG skipped_not_added unique_id=ge_home_AZ312796N_laundry_sub_cycle entity_id=None class=GeErdSensor enabled=True added=False available=True erd_code=LAUNDRY_SUB_CYCLE
2026-07-04 20:12:48.088 WARNING (MainThread) [custom_components.ge_home.update_coordinator] GE_HOME_LAUNDRY_STATE_DIAG update_seen unique_id=ge_home_AZ312796N_laundry_time_remaining entity_id=None class=GeErdSensor enabled=True added=False available=True erd_code=LAUNDRY_TIME_REMAINING
2026-07-04 20:12:48.088 WARNING (MainThread) [custom_components.ge_home.update_coordinator] GE_HOME_LAUNDRY_STATE_DIAG skipped_not_added unique_id=ge_home_AZ312796N_laundry_time_remaining entity_id=None class=GeErdSensor enabled=True added=False available=True erd_code=LAUNDRY_TIME_REMAINING
2026-07-04 20:12:48.088 WARNING (MainThread) [custom_components.ge_home.update_coordinator] GE_HOME_LAUNDRY_STATE_DIAG update_seen unique_id=ge_home_AZ312796N_laundry_delay_time_remaining entity_id=None class=GeErdSensor enabled=True added=False available=True erd_code=LAUNDRY_DELAY_TIME_REMAINING
2026-07-04 20:12:48.089 WARNING (MainThread) [custom_components.ge_home.update_coordinator] GE_HOME_LAUNDRY_STATE_DIAG skipped_not_added unique_id=ge_home_AZ312796N_laundry_delay_time_remaining entity_id=None class=GeErdSensor enabled=True added=False available=True erd_code=LAUNDRY_DELAY_TIME_REMAINING
2026-07-04 20:12:48.089 WARNING (MainThread) [custom_components.ge_home.update_coordinator] GE_HOME_LAUNDRY_STATE_DIAG update_seen unique_id=ge_home_AZ312796N_laundry_combo_door_status entity_id=None class=GeErdBinarySensor enabled=True added=False available=True erd_code=LAUNDRY_COMBO_DOOR_STATUS
2026-07-04 20:12:48.089 WARNING (MainThread) [custom_components.ge_home.update_coordinator] GE_HOME_LAUNDRY_STATE_DIAG skipped_not_added unique_id=ge_home_AZ312796N_laundry_combo_door_status entity_id=None class=GeErdBinarySensor enabled=True added=False available=True erd_code=LAUNDRY_COMBO_DOOR_STATUS
2026-07-04 20:12:48.089 WARNING (MainThread) [custom_components.ge_home.update_coordinator] GE_HOME_LAUNDRY_STATE_DIAG update_seen unique_id=ge_home_AZ312796N_laundry_remote_status entity_id=None class=GeErdBinarySensor enabled=True added=False available=True erd_code=LAUNDRY_REMOTE_STATUS
